Position,Value
0,27
1,0
2,24
3,0
4,0
5,0
6,18
7,0
8,18
9,37
10,26
11,0
12,0
13,20
14,23
15,0
16,0
17,0
18,0
19,0
20,22
21,0
22,0
23,0
24,17
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,23
35,16
36,0
37,21
38,23
39,31
40,0
41,0
42,0
43,19
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,11
52,0
53,0
54,28
55,0
56,0
57,25
58,27
59,0
60,0
61,0
62,20
63,0
64,0
65,0
66,0
67,0
68,0
69,28
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,22
83,0
84,0
85,0
86,0
87,0
88,0
89,15
90,0
91,16
92,25
93,0
94,0
95,13
96,20
97,0
98,0
99,0
100,15
101,14
102,15
103,0
104,10
105,9
106,15
107,0
108,0
109,0
110,0
111,0
112,0
113,23
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,36
123,19
124,0
125,0
126,0
127,0
128,0
129,0
130,26
131,0
132,0
133,26
134,0
135,0
136,0
137,0
138,20
139,24
140,25
141,0
142,18
143,36
144,0
145,30
146,0
147,0
148,15
149,0
150,25
151,0
152,18
153,0
154,31
155,0
156,22
157,0
158,0
159,0
160,16
161,13
162,0
163,0
164,0
165,23
166,0
167,0
168,0
169,0
170,0
171,26
172,27
173,0
174,0
175,32
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,21
184,36
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,39
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,18
205,0
206,13
207,0
208,0
209,0
210,0
211,17
212,0
213,0
214,0
215,18
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,25
224,19
225,0
226,0
227,0
228,16
229,26
230,0
231,0
232,0
233,0
234,0
235,0
236,33
237,0
238,20
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,24
247,0
248,0
249,0
250,0
251,0
252,33
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,19
261,0
262,12
263,0
264,18
265,0
266,0
267,25
268,0
269,0
270,0
271,24
272,0
273,18
274,0
275,0
276,0
277,0
278,22
279,25
280,0
281,0
282,19
283,0
284,20
285,0
286,22
287,0
288,28
289,0
290,0
291,0
292,0
293,16
294,0
295,21
296,22
297,0
298,0
299,38
300,0
301,19
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,24
312,0
313,0
314,0
315,0
316,27
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,20
327,0
328,32
329,0
330,0
331,0
