Position,Value,Centromere_distance,Nucleosome_distance
0,0,250000,0
1,0,249999,1
2,0,249998,2
3,0,249997,3
4,0,249996,4
5,0,249995,5
6,3,249994,6
7,0,249993,7
8,0,249992,8
9,0,249991,9
10,0,249990,10
11,0,249989,11
12,0,249988,12
13,0,249987,13
14,0,249986,14
15,0,249985,15
16,0,249984,16
17,0,249983,17
18,0,249982,18
19,0,249981,19
20,0,249980,20
21,0,249979,21
22,0,249978,22
23,0,249977,23
24,0,249976,24
25,0,249975,25
26,0,249974,26
27,0,249973,27
28,0,249972,28
29,3,249971,29
30,0,249970,30
31,0,249969,31
32,0,249968,32
33,0,249967,33
34,0,249966,34
35,0,249965,35
36,0,249964,36
37,0,249963,37
38,0,249962,38
39,0,249961,39
40,0,249960,40
41,0,249959,41
42,0,249958,42
43,0,249957,43
44,1,249956,44
45,0,249955,45
46,0,249954,46
47,0,249953,47
48,0,249952,48
49,0,249951,49
50,0,249950,50
51,8,249949,51
52,1,249948,52
53,0,249947,53
54,0,249946,54
55,0,249945,55
56,0,249944,56
57,0,249943,57
58,0,249942,58
59,23,249941,59
60,0,249940,60
61,0,249939,61
62,0,249938,62
63,0,249937,63
64,0,249936,64
65,0,249935,65
66,0,249934,66
67,0,249933,67
68,0,249932,68
69,0,249931,69
70,12,249930,70
71,0,249929,71
72,0,249928,72
73,0,249927,73
74,18,249926,74
75,0,249925,75
76,0,249924,76
77,0,249923,77
78,0,249922,78
79,0,249921,79
80,0,249920,80
81,0,249919,81
82,0,249918,82
83,0,249917,83
84,28,249916,84
85,0,249915,85
86,0,249914,86
87,7,249913,87
88,0,249912,88
89,11,249911,89
90,0,249910,88
91,0,249909,87
92,70,249908,86
93,0,249907,85
94,0,249906,84
95,0,249905,83
96,6,249904,82
97,8,249903,81
98,0,249902,80
99,0,249901,79
100,0,249900,78
101,0,249899,77
102,0,249898,76
103,21,249897,75
104,0,249896,74
105,0,249895,73
106,0,249894,72
107,28,249893,71
108,0,249892,70
109,0,249891,69
110,0,249890,68
111,0,249889,67
112,0,249888,66
113,0,249887,65
114,0,249886,64
115,0,249885,63
116,0,249884,62
117,0,249883,61
118,0,249882,60
119,4,249881,59
120,5,249880,58
121,0,249879,57
122,0,249878,56
123,0,249877,55
124,0,249876,54
125,0,249875,53
126,0,249874,52
127,0,249873,51
128,9,249872,50
129,37,249871,49
130,0,249870,48
131,0,249869,47
132,0,249868,46
133,0,249867,45
134,0,249866,44
135,0,249865,43
136,0,249864,42
137,0,249863,41
138,0,249862,40
139,0,249861,39
140,0,249860,38
141,0,249859,37
142,4,249858,36
143,0,249857,35
144,0,249856,34
145,0,249855,33
146,0,249854,32
147,0,249853,31
148,0,249852,30
149,0,249851,29
150,6,249850,28
151,0,249849,27
152,0,249848,26
153,0,249847,25
154,0,249846,24
155,6,249845,23
156,0,249844,22
157,0,249843,21
158,0,249842,20
159,0,249841,19
160,0,249840,18
161,0,249839,17
162,0,249838,16
163,0,249837,15
164,0,249836,14
165,0,249835,13
166,0,249834,12
167,0,249833,11
168,0,249832,10
169,0,249831,9
170,0,249830,8
171,0,249829,7
172,0,249828,6
173,0,249827,5
174,0,249826,4
175,0,249825,3
176,0,249824,2
177,0,249823,1
178,0,249822,0
179,0,249821,1
180,0,249820,2
181,27,249819,3
182,0,249818,4
183,0,249817,5
184,0,249816,6
185,0,249815,7
186,0,249814,8
187,0,249813,9
188,0,249812,10
189,0,249811,11
190,0,249810,12
191,1,249809,13
192,0,249808,14
193,0,249807,15
194,0,249806,16
195,0,249805,17
196,0,249804,18
197,0,249803,19
198,0,249802,20
199,0,249801,21
200,2,249800,22
201,3,249799,23
202,0,249798,24
203,0,249797,25
204,0,249796,26
205,0,249795,27
206,0,249794,28
207,0,249793,29
208,0,249792,30
209,0,249791,31
210,0,249790,32
211,0,249789,33
212,0,249788,34
213,0,249787,35
214,0,249786,36
215,0,249785,37
216,0,249784,38
217,0,249783,39
218,0,249782,40
219,0,249781,41
220,0,249780,42
221,0,249779,43
222,0,249778,44
223,0,249777,45
224,0,249776,46
225,0,249775,47
226,0,249774,48
227,0,249773,49
228,0,249772,50
229,0,249771,51
230,0,249770,52
231,0,249769,53
